ParticipantID,ParticipantEmail,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPassword,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,ParticipantSchoolOrEmployer,ParticipantFieldOfInterest,AccountCreatedDate
13,alexander.johnson17@ellarises.org,Alexander,Johnson,1999-04-20,p,Password13,801-514-4923,Draper,UT,84900,Valley Charter,Both,2021-07-20 16:14:00
14,abigail.garcia18@community.org,Abigail,Garcia,2000-11-17,p,Password14,801-745-3060,Ogden,UT,84779,Tech Apprenticeship,Arts,2021-07-20 16:14:00
15,chloe.taylor19@community.org,Chloe,Taylor,2013-12-28,p,Password15,801-752-4295,Sandy,UT,84952,BYU,Arts,2021-07-20 16:14:00
16,zoe.lewis20@community.org,Zoe,Lewis,2005-08-01,p,Password16,801-430-2049,Logan,UT,84254,Westview High,Both,2021-07-20 16:14:00
17,madison.nguyen21@studentmail.org,Madison,Nguyen,2003-02-19,p,Password17,801-924-1964,Salt Lake City,UT,84073,East Ridge Middle,STEM,2021-07-20 16:14:00
18,skylar.jones22@studentmail.org,Skylar,Jones,2010-02-04,p,Password18,801-697-4510,Layton,UT,84686,North Summit High,Both,2021-07-20 16:14:00
19,jack.thomas23@community.org,Jack,Thomas,2012-10-12,p,Password19,801-296-2588,Taylorsville,UT,84195,SLCC,Arts,2021-07-20 16:14:00
20,elijah.clark24@community.org,Elijah,Clark,1999-05-12,p,Password20,801-869-2612,Provo,UT,84690,SLCC,Both,2021-07-20 16:14:00
21,violet.miller25@studentmail.org,Violet,Miller,2001-02-22,p,Password21,801-749-8350,Sandy,UT,84195,SLCC,STEM,2021-07-20 16:14:00
22,olivia.garcia27@studentmail.org,Olivia,Garcia,2002-10-18,p,Password22,801-697-8886,Orem,UT,84417,Community Center,Arts,2021-07-20 16:14:00
23,amelia.hernandez28@community.org,Amelia,Hernandez,2004-05-25,p,Password23,801-471-8454,Salt Lake City,UT,84400,SLCC,Both,2021-07-20 16:14:00
24,alexander.martinez29@studentmail.org,Alexander,Martinez,1999-05-15,p,Password24,801-259-9883,Murray,UT,84223,Art Studio,Arts,2021-07-20 16:14:00
25,amelia.brown30@community.org,Amelia,Brown,1999-04-11,p,Password25,801-743-3579,Pleasant Grove,UT,84942,Cafe Rio,STEM,2021-07-20 16:14:00
26,riley.jones31@ellarises.org,Riley,Jones,2010-12-26,p,Password26,801-322-5033,West Jordan,UT,84414,Local Library,STEM,2021-07-20 16:14:00
27,abigail.clark32@learners.net,Abigail,Clark,2003-05-10,p,Password27,801-885-6147,Layton,UT,84210,BYU,Arts,2021-07-20 16:14:00
28,elizabeth.jones34@studentmail.org,Elizabeth,Jones,1999-07-18,p,Password28,801-335-6718,Pleasant Grove,UT,84272,Startup Lab,STEM,2021-07-20 16:14:00
29,zoe.jackson35@studentmail.org,Zoe,Jackson,2011-09-20,p,Password29,801-756-5956,Riverton,UT,84854,Retail Store,Both,2021-07-20 16:14:00
30,mason.smith36@learners.net,Mason,Smith,2000-08-03,p,Password30,801-337-5333,Logan,UT,84962,Startup Lab,STEM,2021-07-20 16:14:00
31,scarlett.moore37@learners.net,Scarlett,Moore,2013-06-02,p,Password31,801-551-4335,Sandy,UT,84735,Tech Apprenticeship,Arts,2021-07-20 16:14:00
32,mateo.young38@learners.net,Mateo,Young,2004-03-16,p,Password32,801-849-7939,Provo,UT,84095,Westview High,STEM,2021-07-20 16:14:00
33,skylar.rodriguez39@learners.net,Skylar,Rodriguez,2010-07-31,p,Password33,801-652-8007,Orem,UT,84760,Westview High,STEM,2021-07-20 16:14:00
34,evelyn.martinez40@ellarises.org,Evelyn,Martinez,2007-08-22,p,Password34,801-765-3426,Draper,UT,84597,North Summit High,STEM,2021-07-20 16:14:00
35,bella.white41@ellarises.org,Bella,White,2012-12-16,p,Password35,801-898-5088,Draper,UT,84216,East Ridge Middle,Arts,2021-07-20 16:14:00
36,noah.flores42@studentmail.org,Noah,Flores,2007-04-01,p,Password36,801-366-3900,West Jordan,UT,84886,Westview High,STEM,2021-07-20 16:14:00
37,skylar.clark43@studentmail.org,Skylar,Clark,2006-07-31,p,Password37,801-918-2771,Layton,UT,84164,Community Center,STEM,2021-07-20 16:14:00
38,jack.anderson44@studentmail.org,Jack,Anderson,2003-01-01,p,Password38,801-512-4728,Riverton,UT,84359,Westview High,Both,2021-07-20 16:14:00
39,zoey.sanchez45@learners.net,Zoey,Sanchez,2005-11-16,p,Password39,801-271-5573,Layton,UT,84886,Tech Apprenticeship,Both,2021-07-20 16:14:00
40,liam.wright46@learners.net,Liam,Wright,2011-01-09,p,Password40,801-467-3925,Salt Lake City,UT,84119,BYU,STEM,2021-07-20 16:14:00
41,mila.hill47@community.org,Mila,Hill,2011-08-07,p,Password41,801-521-8149,Draper,UT,84747,Cafe Rio,STEM,2021-07-20 16:14:00
42,hazel.torres48@studentmail.org,Hazel,Torres,1998-01-14,p,Password42,801-925-8144,Layton,UT,84046,Cafe Rio,Both,2021-07-20 16:14:00
43,avery.martin50@learners.net,Avery,Martin,2010-06-08,p,Password43,801-612-5844,Taylorsville,UT,84335,North Summit High,STEM,2021-07-20 16:14:00
44,oliver.harris51@studentmail.org,Oliver,Harris,2004-10-25,p,Password44,801-761-1006,Murray,UT,84416,BYU,STEM,2021-07-20 16:14:00
45,william.nguyen52@learners.net,William,Nguyen,2009-06-19,p,Password45,801-652-4501,Riverton,UT,84453,Mountain View High,Both,2021-07-20 16:14:00
46,chloe.garcia53@learners.net,Chloe,Garcia,2000-02-05,p,Password46,801-848-6491,Pleasant Grove,UT,84680,Community Center,STEM,2021-07-20 16:14:00
47,bella.anderson54@studentmail.org,Bella,Anderson,2008-08-28,p,Password47,801-247-5011,St. George,UT,84026,Local Library,STEM,2021-07-20 16:14:00
48,benjamin.clark55@studentmail.org,Benjamin,Clark,2001-04-23,p,Password48,801-609-4997,Bountiful,UT,84507,Tech Apprenticeship,Both,2021-07-20 16:14:00
49,ava.miller56@community.org,Ava,Miller,2008-06-02,p,Password49,801-912-9486,West Jordan,UT,84181,Westview High,Both,2021-07-20 16:14:00
50,addison.davis57@community.org,Addison,Davis,2010-07-15,p,Password50,801-675-9702,St. George,UT,84821,Local Library,Arts,2021-07-20 16:14:00
51,henry.flores58@community.org,Henry,Flores,2008-02-04,p,Password51,801-362-8777,Riverton,UT,84919,BYU,STEM,2021-07-20 16:14:00
52,penelope.king59@community.org,Penelope,King,2014-01-02,p,Password52,801-650-2269,West Jordan,UT,84282,BYU,STEM,2021-07-20 16:14:00
53,paisley.perez60@learners.net,Paisley,Perez,2006-08-04,p,Password53,801-354-4788,Ogden,UT,84142,Art Studio,STEM,2021-07-20 16:14:00
54,hannah.jones61@community.org,Hannah,Jones,2007-04-30,p,Password54,801-755-8633,Taylorsville,UT,84339,Westview High,STEM,2021-07-20 16:14:00
55,oliver.harris62@ellarises.org,Oliver,Harris,2004-09-12,p,Password55,801-206-6763,Bountiful,UT,84489,Retail Store,Arts,2021-07-20 16:14:00
56,oliver.wright63@studentmail.org,Oliver,Wright,2008-11-22,p,Password56,801-479-8140,Spanish Fork,UT,84225,Westview High,Arts,2021-07-20 16:14:00
57,violet.sanchez64@studentmail.org,Violet,Sanchez,1998-08-09,p,Password57,801-330-9751,Riverton,UT,84942,Startup Lab,Arts,2021-07-20 16:14:00
58,sophia.garcia65@community.org,Sophia,Garcia,1999-02-16,p,Password58,801-672-3977,St. George,UT,84888,BYU,Arts,2021-07-20 16:14:00
59,claire.wilson66@community.org,Claire,Wilson,2004-03-29,p,Password59,801-979-7211,Lehi,UT,84346,Retail Store,Arts,2021-07-20 16:14:00
60,eleanor.garcia67@community.org,Eleanor,Garcia,2005-11-06,p,Password60,801-752-1853,Salt Lake City,UT,84768,Valley Charter,Both,2021-07-20 16:14:00
61,harper.williams68@ellarises.org,Harper,Williams,2003-05-09,p,Password61,801-220-3496,West Jordan,UT,84205,North Summit High,Arts,2021-07-20 16:14:00
62,ella.torres69@studentmail.org,Ella,Torres,2001-10-06,p,Password62,801-462-7043,Riverton,UT,84717,Local Library,Both,2021-07-20 16:14:00
63,ella.hernandez70@learners.net,Ella,Hernandez,2010-11-30,p,Password63,801-226-6111,Logan,UT,84593,Tech Apprenticeship,Arts,2021-07-20 16:14:00
64,james.gonzalez71@ellarises.org,James,Gonzalez,2013-05-07,p,Password64,801-913-5941,West Jordan,UT,84105,Local Library,STEM,2021-07-20 16:14:00
65,mia.thompson72@community.org,Mia,Thompson,1998-04-14,p,Password65,801-718-6590,Draper,UT,84071,Community Center,Arts,2021-07-20 16:14:00
66,alexander.miller73@community.org,Alexander,Miller,2007-10-08,p,Password66,801-670-3506,Draper,UT,84651,North Summit High,Both,2021-07-20 16:14:00
67,michael.moore74@community.org,Michael,Moore,2005-03-25,p,Password67,801-948-5397,Riverton,UT,84447,Community Center,STEM,2021-07-20 16:14:00
68,emily.moore75@community.org,Emily,Moore,2005-07-18,p,Password68,801-675-7209,West Jordan,UT,84769,Westview High,Arts,2021-07-20 16:14:00
69,penelope.scott77@ellarises.org,Penelope,Scott,2003-06-01,p,Password69,801-395-2402,Pleasant Grove,UT,84971,Art Studio,Arts,2021-07-20 16:14:00
70,alexander.scott78@studentmail.org,Alexander,Scott,2008-01-20,p,Password70,801-928-9041,Spanish Fork,UT,84662,Retail Store,STEM,2021-07-20 16:14:00
71,emily.jackson79@studentmail.org,Emily,Jackson,2012-11-22,p,Password71,801-449-6016,Bountiful,UT,84709,Local Library,Arts,2021-07-20 16:14:00
72,jack.scott80@learners.net,Jack,Scott,2005-11-22,p,Password72,801-763-6419,Taylorsville,UT,84764,Art Studio,Arts,2021-07-20 16:14:00
73,sebastian.lopez82@studentmail.org,Sebastian,Lopez,2014-04-02,p,Password73,801-695-5530,Sandy,UT,84757,Local Library,Both,2021-07-20 16:14:00
74,aurora.miller83@studentmail.org,Aurora,Miller,2004-10-12,p,Password74,801-569-3939,Murray,UT,84233,Westview High,Both,2021-07-20 16:14:00
75,sebastian.rodriguez84@learners.net,Sebastian,Rodriguez,2013-08-23,p,Password75,801-255-5786,Provo,UT,84998,North Summit High,Both,2021-07-20 16:14:00
76,alexander.miller85@ellarises.org,Alexander,Miller,2005-08-23,p,Password76,801-690-8216,Murray,UT,84481,North Summit High,STEM,2021-07-20 16:14:00
77,eleanor.walker86@ellarises.org,Eleanor,Walker,2010-12-10,p,Password77,801-703-2213,Ogden,UT,84411,Tech Apprenticeship,Both,2021-07-20 16:14:00
78,victoria.king88@community.org,Victoria,King,2011-03-15,p,Password78,801-653-5871,Riverton,UT,84931,SLCC,Arts,2021-07-20 16:14:00
79,amelia.flores89@ellarises.org,Amelia,Flores,2012-10-24,p,Password79,801-416-5335,Sandy,UT,84641,East Ridge Middle,STEM,2021-07-20 16:14:00
80,lillian.lopez90@ellarises.org,Lillian,Lopez,2013-06-18,p,Password80,801-618-8381,Orem,UT,84003,Local Library,Arts,2021-07-20 16:14:00
81,savannah.williams91@studentmail.org,Savannah,Williams,1999-08-07,p,Password81,801-489-8438,Murray,UT,84724,Tech Apprenticeship,STEM,2021-07-20 16:14:00
82,lucy.nguyen92@studentmail.org,Lucy,Nguyen,2012-07-11,p,Password82,801-757-4683,Taylorsville,UT,84118,North Summit High,Arts,2021-07-20 16:14:00
83,aria.jones93@ellarises.org,Aria,Jones,2007-11-07,p,Password83,801-514-5728,Orem,UT,84812,East Ridge Middle,Arts,2021-07-20 16:14:00
84,brooklyn.sanchez94@learners.net,Brooklyn,Sanchez,1999-10-21,p,Password84,801-705-8172,Pleasant Grove,UT,84553,Local Library,STEM,2021-07-20 16:14:00
85,william.lee95@learners.net,William,Lee,2013-01-29,p,Password85,801-434-1339,Salt Lake City,UT,84094,Community Center,Arts,2021-07-20 16:14:00
86,mia.lopez96@community.org,Mia,Lopez,2002-01-26,p,Password86,801-652-5557,Pleasant Grove,UT,84668,Local Library,Arts,2021-07-20 16:14:00
87,alexander.garcia97@community.org,Alexander,Garcia,2013-01-11,p,Password87,801-541-6260,Draper,UT,84419,East Ridge Middle,STEM,2021-07-20 16:14:00
88,skylar.clark98@community.org,Skylar,Clark,2008-03-14,p,Password88,801-610-1601,Murray,UT,84679,East Ridge Middle,Arts,2021-07-20 16:14:00
89,eleanor.lee99@ellarises.org,Eleanor,Lee,2012-10-01,p,Password89,801-726-1018,Bountiful,UT,84886,Community Center,Both,2021-07-20 16:14:00
90,theodore.clark100@ellarises.org,Theodore,Clark,2012-01-11,p,Password90,801-570-9167,Sandy,UT,84531,Mountain View High,STEM,2021-07-20 16:14:00
91,grace.moore101@studentmail.org,Grace,Moore,2000-09-21,p,Password91,801-915-8941,Murray,UT,84449,Westview High,Both,2021-07-20 16:14:00
92,lillian.hernandez102@learners.net,Lillian,Hernandez,2003-01-15,p,Password92,801-617-2527,Salt Lake City,UT,84566,Community Center,STEM,2021-07-20 16:14:00
93,oliver.walker104@community.org,Oliver,Walker,2006-08-09,p,Password93,801-764-3369,West Jordan,UT,84468,Valley Charter,Both,2021-07-20 16:14:00
94,daniel.rodriguez105@ellarises.org,Daniel,Rodriguez,2009-05-22,p,Password94,801-624-6568,Layton,UT,84792,BYU,STEM,2021-07-20 16:14:00
95,aurora.martin106@community.org,Aurora,Martin,2005-09-28,p,Password95,801-751-8935,St. George,UT,84458,UVU,Both,2021-07-20 16:14:00
96,ethan.harris107@community.org,Ethan,Harris,2010-10-29,p,Password96,801-393-4912,Lehi,UT,84891,SLCC,STEM,2021-07-20 16:14:00
97,noah.williams108@learners.net,Noah,Williams,2012-11-19,p,Password97,801-590-7325,Spanish Fork,UT,84723,Retail Store,Both,2021-07-20 16:14:00
98,scarlett.young109@ellarises.org,Scarlett,Young,2000-04-02,p,Password98,801-804-6439,St. George,UT,84515,Community Center,Arts,2021-07-20 16:14:00
99,elizabeth.king110@community.org,Elizabeth,King,2012-09-07,p,Password99,801-347-7717,Salt Lake City,UT,84740,North Summit High,STEM,2021-07-20 16:14:00
100,jack.taylor111@learners.net,Jack,Taylor,2013-02-15,p,Password100,801-282-6383,Bountiful,UT,84666,Community Center,Both,2021-07-20 16:14:00
101,leah.lee112@community.org,Leah,Lee,2012-02-27,p,Password101,801-270-4846,Provo,UT,84633,Tech Apprenticeship,Arts,2021-07-20 16:14:00
102,madison.garcia113@community.org,Madison,Garcia,2007-12-14,p,Password102,801-848-2646,Logan,UT,84779,North Summit High,Both,2021-07-20 16:14:00
103,brooklyn.johnson114@ellarises.org,Brooklyn,Johnson,2006-01-15,p,Password103,801-257-5806,Lehi,UT,84816,UVU,Arts,2021-07-20 16:14:00
104,aria.thomas115@community.org,Aria,Thomas,2011-09-02,p,Password104,801-379-2293,Orem,UT,84175,Community Center,Arts,2021-07-20 16:14:00
105,lillian.young116@studentmail.org,Lillian,Young,2008-04-22,p,Password105,801-853-5161,West Jordan,UT,84473,BYU,Both,2021-07-20 16:14:00
106,olivia.robinson117@learners.net,Olivia,Robinson,2011-03-07,p,Password106,801-652-6661,Orem,UT,84076,BYU,Both,2021-07-20 16:14:00
107,elijah.taylor118@community.org,Elijah,Taylor,2000-05-23,p,Password107,801-593-8916,Murray,UT,84204,Valley Charter,Arts,2021-07-20 16:14:00
108,stella.torres119@learners.net,Stella,Torres,2004-02-27,p,Password108,801-874-7484,Murray,UT,84023,Westview High,Both,2021-07-20 16:14:00
109,charlotte.hill120@community.org,Charlotte,Hill,2002-11-30,p,Password109,801-435-6772,Murray,UT,84795,Tech Apprenticeship,STEM,2021-07-20 16:14:00
110,eleanor.rodriguez121@ellarises.org,Eleanor,Rodriguez,2010-12-31,p,Password110,801-651-1546,Provo,UT,84317,UVU,Both,2021-07-20 16:14:00
111,sofia.garcia122@learners.net,Sofia,Garcia,2002-07-03,p,Password111,801-625-3877,Lehi,UT,84766,North Summit High,Both,2021-07-20 16:14:00
112,natalie.king123@learners.net,Natalie,King,2014-09-29,p,Password112,801-693-5835,Orem,UT,84264,Community Center,Arts,2021-07-20 16:14:00
113,ella.robinson124@ellarises.org,Ella,Robinson,2010-07-02,p,Password113,801-431-7511,St. George,UT,84773,UVU,STEM,2021-07-20 16:14:00
114,james.smith125@learners.net,James,Smith,2011-02-10,p,Password114,801-577-5295,Logan,UT,84466,SLCC,Both,2021-07-20 16:14:00
115,zoe.miller126@studentmail.org,Zoe,Miller,2011-09-07,p,Password115,801-834-6374,Spanish Fork,UT,84026,Valley Charter,Both,2021-07-20 16:14:00
116,harper.robinson127@learners.net,Harper,Robinson,1998-11-01,p,Password116,801-343-1742,Taylorsville,UT,84120,BYU,Arts,2021-07-20 16:14:00
117,ella.miller128@studentmail.org,Ella,Miller,2013-01-14,p,Password117,801-664-7078,St. George,UT,84398,Art Studio,Both,2021-07-20 16:14:00
118,ethan.clark129@studentmail.org,Ethan,Clark,2011-10-23,p,Password118,801-301-9017,Taylorsville,UT,84671,SLCC,Arts,2021-07-20 16:14:00
119,isabella.white130@studentmail.org,Isabella,White,2000-03-24,p,Password119,801-441-6942,Riverton,UT,84456,Tech Apprenticeship,Arts,2021-07-20 16:14:00
120,ethan.thompson131@ellarises.org,Ethan,Thompson,2008-03-14,p,Password120,801-394-3001,Bountiful,UT,84283,East Ridge Middle,Both,2021-07-20 16:14:00
121,hannah.hill132@ellarises.org,Hannah,Hill,2000-10-28,p,Password121,801-541-4990,Provo,UT,84806,Retail Store,Both,2021-07-20 16:14:00
122,grace.jones133@studentmail.org,Grace,Jones,2001-04-23,p,Password122,801-438-6383,Sandy,UT,84833,Retail Store,Both,2021-07-20 16:14:00
123,ava.moore134@studentmail.org,Ava,Moore,2000-06-19,p,Password123,801-456-3858,St. George,UT,84554,Tech Apprenticeship,STEM,2021-07-20 16:14:00
124,sofia.smith135@learners.net,Sofia,Smith,2001-11-28,p,Password124,801-531-1258,West Jordan,UT,84603,BYU,STEM,2021-07-20 16:14:00
125,sofia.clark136@ellarises.org,Sofia,Clark,2009-07-06,p,Password125,801-659-6931,Ogden,UT,84488,Local Library,STEM,2021-07-20 16:14:00
126,lucas.allen137@studentmail.org,Lucas,Allen,2004-10-06,p,Password126,801-874-9543,Provo,UT,84745,Mountain View High,Both,2021-07-20 16:14:00
127,sophia.brown138@community.org,Sophia,Brown,2008-12-30,p,Password127,801-902-2768,Bountiful,UT,84437,Art Studio,Arts,2021-07-20 16:14:00
128,evelyn.garcia139@learners.net,Evelyn,Garcia,2012-01-02,p,Password128,801-329-5505,St. George,UT,84068,Tech Apprenticeship,Both,2021-07-20 16:14:00
129,claire.harris140@learners.net,Claire,Harris,2000-03-23,p,Password129,801-819-8048,Riverton,UT,84518,Retail Store,Both,2021-07-20 16:14:00
130,ella.scott141@studentmail.org,Ella,Scott,2005-08-08,p,Password130,801-433-7779,Taylorsville,UT,84463,Community Center,Arts,2021-07-20 16:14:00
131,liam.clark142@ellarises.org,Liam,Clark,2006-05-25,p,Password131,801-520-5176,Lehi,UT,84438,North Summit High,Both,2021-07-20 16:14:00
132,jack.jones143@ellarises.org,Jack,Jones,2014-09-13,p,Password132,801-642-2582,Ogden,UT,84096,Art Studio,Arts,2021-07-20 16:14:00
133,sofia.scott144@ellarises.org,Sofia,Scott,2005-12-06,p,Password133,801-325-7730,Lehi,UT,84687,Community Center,Both,2021-07-20 16:14:00
134,elijah.brown145@learners.net,Elijah,Brown,2002-10-09,p,Password134,801-306-9313,Murray,UT,84361,North Summit High,Both,2021-07-20 16:14:00
135,victoria.ramirez147@ellarises.org,Victoria,Ramirez,2013-10-05,p,Password135,801-384-5477,Layton,UT,84030,Retail Store,Arts,2021-07-20 16:14:00
136,violet.thompson148@ellarises.org,Violet,Thompson,1999-07-25,p,Password136,801-346-7566,Orem,UT,84891,North Summit High,Both,2021-07-20 16:14:00
137,sophia.garcia149@studentmail.org,Sophia,Garcia,2001-07-13,p,Password137,801-664-6585,Bountiful,UT,84430,UVU,Arts,2021-07-20 16:14:00
138,claire.torres150@ellarises.org,Claire,Torres,2013-02-12,p,Password138,801-361-1815,Provo,UT,84160,East Ridge Middle,Arts,2021-07-20 16:14:00
139,henry.ramirez151@community.org,Henry,Ramirez,2014-12-07,p,Password139,801-479-4531,Riverton,UT,84425,Cafe Rio,STEM,2021-07-20 16:14:00
140,kennedy.ramirez152@ellarises.org,Kennedy,Ramirez,2009-10-26,p,Password140,801-894-8972,Murray,UT,84695,Tech Apprenticeship,Arts,2021-07-20 16:14:00
141,mia.anderson153@community.org,Mia,Anderson,2002-09-27,p,Password141,801-409-5938,Provo,UT,84008,Retail Store,STEM,2021-07-20 16:14:00
142,eleanor.jackson154@learners.net,Eleanor,Jackson,2001-12-10,p,Password142,801-709-8055,Logan,UT,84008,North Summit High,Arts,2021-07-20 16:14:00
143,sebastian.anderson155@learners.net,Sebastian,Anderson,2007-10-14,p,Password143,801-959-1693,Ogden,UT,84407,Westview High,Arts,2021-07-20 16:14:00
144,evelyn.lee156@community.org,Evelyn,Lee,2004-06-29,p,Password144,801-855-7843,Bountiful,UT,84727,East Ridge Middle,Arts,2021-07-20 16:14:00
145,emma.lee157@studentmail.org,Emma,Lee,1999-12-23,p,Password145,801-906-6928,Riverton,UT,84852,SLCC,STEM,2021-07-20 16:14:00
146,addison.ramirez158@community.org,Addison,Ramirez,2014-09-23,p,Password146,801-605-6083,Pleasant Grove,UT,84081,UVU,STEM,2021-07-20 16:14:00
147,skylar.hernandez159@ellarises.org,Skylar,Hernandez,2009-06-09,p,Password147,801-316-9693,Pleasant Grove,UT,84649,Valley Charter,Arts,2021-07-20 16:14:00
148,kennedy.martinez160@studentmail.org,Kennedy,Martinez,2001-11-22,p,Password148,801-462-4232,Logan,UT,84150,Local Library,STEM,2021-07-20 16:14:00
149,evelyn.lopez161@community.org,Evelyn,Lopez,2013-04-11,p,Password149,801-777-8354,Riverton,UT,84773,Startup Lab,Both,2021-07-20 16:14:00
150,claire.lee162@studentmail.org,Claire,Lee,2012-02-29,p,Password150,801-680-8245,Riverton,UT,84070,BYU,Arts,2021-07-20 16:14:00
151,amelia.thompson163@ellarises.org,Amelia,Thompson,1999-04-12,p,Password151,801-662-1616,Murray,UT,84473,UVU,Arts,2021-07-20 16:14:00
152,evelyn.garcia164@community.org,Evelyn,Garcia,2008-02-02,p,Password152,801-767-1672,Riverton,UT,84595,Startup Lab,Both,2021-07-20 16:14:00
153,zoey.lee165@community.org,Zoey,Lee,2000-04-27,p,Password153,801-263-8381,Pleasant Grove,UT,84155,Retail Store,Arts,2021-07-20 16:14:00
154,abigail.allen166@studentmail.org,Abigail,Allen,2007-11-09,p,Password154,801-924-8172,Provo,UT,84254,Cafe Rio,Both,2021-07-20 16:14:00
155,lily.white167@learners.net,Lily,White,2013-03-24,p,Password155,801-618-6543,Murray,UT,84397,Local Library,STEM,2021-07-20 16:14:00
156,skylar.jones168@learners.net,Skylar,Jones,2004-05-16,p,Password156,801-894-7333,Logan,UT,84572,BYU,Both,2021-07-20 16:14:00
157,scarlett.perez169@ellarises.org,Scarlett,Perez,2012-09-18,p,Password157,801-558-6082,St. George,UT,84939,Art Studio,Both,2021-07-20 16:14:00
158,james.rodriguez170@ellarises.org,James,Rodriguez,2000-11-12,p,Password158,801-585-6381,Murray,UT,84573,Tech Apprenticeship,Both,2021-07-20 16:14:00
159,mason.garcia171@community.org,Mason,Garcia,2004-12-05,p,Password159,801-218-6940,Pleasant Grove,UT,84371,North Summit High,STEM,2021-07-20 16:14:00
160,violet.young172@studentmail.org,Violet,Young,2004-08-20,p,Password160,801-358-2264,West Jordan,UT,84141,Community Center,STEM,2021-07-20 16:14:00
161,mateo.wright173@ellarises.org,Mateo,Wright,2011-05-25,p,Password161,801-984-3147,Lehi,UT,84898,SLCC,STEM,2021-07-20 16:14:00
162,lily.lopez174@studentmail.org,Lily,Lopez,2013-03-03,p,Password162,801-620-6968,Riverton,UT,84045,Art Studio,STEM,2021-07-20 16:14:00
163,henry.flores175@learners.net,Henry,Flores,2004-12-10,p,Password163,801-746-4918,Riverton,UT,84240,Retail Store,Arts,2021-07-20 16:14:00
164,zoey.white176@community.org,Zoey,White,2009-04-12,p,Password164,801-488-7256,Riverton,UT,84788,Cafe Rio,Arts,2021-07-20 16:14:00
165,lily.gonzalez177@studentmail.org,Lily,Gonzalez,2006-04-29,p,Password165,801-856-8873,Layton,UT,84054,Cafe Rio,STEM,2021-07-20 16:14:00
166,michael.davis178@learners.net,Michael,Davis,2008-01-29,p,Password166,801-364-5469,Ogden,UT,84782,Startup Lab,Both,2021-07-20 16:14:00
167,aria.ramirez179@ellarises.org,Aria,Ramirez,1998-08-07,p,Password167,801-661-6727,West Jordan,UT,84837,SLCC,STEM,2021-07-20 16:14:00
168,james.allen180@learners.net,James,Allen,2003-01-14,p,Password168,801-283-7142,West Jordan,UT,84396,Westview High,Arts,2021-07-20 16:14:00
169,elizabeth.perez181@studentmail.org,Elizabeth,Perez,2013-08-12,p,Password169,801-493-8740,St. George,UT,84040,Community Center,STEM,2021-07-20 16:14:00
170,jack.lewis182@ellarises.org,Jack,Lewis,2001-05-09,p,Password170,801-462-4533,Ogden,UT,84020,Cafe Rio,Both,2021-07-20 16:14:00
171,mason.ramirez183@ellarises.org,Mason,Ramirez,1999-01-27,p,Password171,801-508-2996,Murray,UT,84244,Valley Charter,Arts,2021-07-20 16:14:00
172,benjamin.jones184@ellarises.org,Benjamin,Jones,2012-03-04,p,Password172,801-748-1269,Spanish Fork,UT,84612,Cafe Rio,Both,2021-07-20 16:14:00
